net_name	config_key	filename	clustering_score	total_number_edges	edge_overlap	net_size	overlap_percent	reverse_overlap_percent	dataset	config_dir	n_clusters
net_51_10906	netmap_config_8	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_8	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_config_9	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_config_9	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	43681	90	90	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	43681	105	105	1.0	1.0	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_51_10906	scgenerai_config	clustering_score_leiden.json	0.5	21736	57	90	0.6333333333333333	0.6333333333333333	net_98_11932_net_51_10906_net_60_10082	config_easy	2
net_98_11932	scgenerai_config	clustering_score_leiden.json	0.5	21736	38	105	0.3619047619047619	0.3619047619047619	net_98_11932_net_51_10906_net_60_10082	config_easy	2
