percentage_recovered	tp	gs_count	pp	type	grn	net	config	dataset	top_perc
0.3263598326359833	78	239	33382	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.5
0.3263598326359833	78	239	33382	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.75
0.3263598326359833	78	239	33382	on_target	0	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	98	67	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.001
0.0	0	98	671	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.01
0.0918367346938775	9	98	3357	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.05
0.1836734693877551	18	98	6715	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.1
0.2448979591836734	24	98	13430	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.2
0.2755102040816326	27	98	16787	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.25
0.4183673469387755	41	98	33382	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.5
0.4183673469387755	41	98	33382	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.75
0.4183673469387755	41	98	33382	off_target	0	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	239	67	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.001
0.0125523012552301	3	239	671	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.01
0.0502092050209205	12	239	3357	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.05
0.100418410041841	24	239	6715	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.1
0.1799163179916318	43	239	13430	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.2
0.209205020920502	50	239	16787	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.25
0.3430962343096234	82	239	33574	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.5
0.3430962343096234	82	239	33767	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.75
0.3430962343096234	82	239	33767	off_target	1	0	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	98	67	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.001
0.0	0	98	671	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.01
0.0510204081632653	5	98	3357	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.05
0.1020408163265306	10	98	6715	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.1
0.1836734693877551	18	98	13430	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.2
