,method,clustering_score,training_time,inference_time,dataset
177,GradientShap_16_3_0.1_ZINBAutoencoder_randomize,1.0,490.9115168279968,221.99913716599985,net_84_10865_net_88_10937_net_90_11013
178,GradientShap_16_3_0.1_ZINBAutoencoder_data,1.0,490.9115168279968,220.1096847410081,net_84_10865_net_88_10937_net_90_11013
179,Deconvolution_16_3_0.1_ZINBAutoencoder_zeros,1.0,490.9115168279968,107.5084885010001,net_84_10865_net_88_10937_net_90_11013
180,GuidedBackprop_64_1_0_NegativeBinomialAutoencoder_zeros,1.0,1518.0487550410035,452.42114843500894,net_141_11706_net_61_10737_net_70_11670_net_51_10906
181,GradientShap_64_1_0_NegativeBinomialAutoencoder_zeros,1.0,1518.0487550410035,811.8830201580131,net_141_11706_net_61_10737_net_70_11670_net_51_10906
182,GradientShap_64_1_0_NegativeBinomialAutoencoder_randomize,0.78,1518.0487550410035,832.0384316529962,net_141_11706_net_61_10737_net_70_11670_net_51_10906
183,GradientShap_64_1_0_NegativeBinomialAutoencoder_data,0.7806666666666666,1518.0487550410035,828.2652140439895,net_141_11706_net_61_10737_net_70_11670_net_51_10906
184,Deconvolution_64_1_0_NegativeBinomialAutoencoder_zeros,1.0,1518.0487550410035,388.42083044099854,net_141_11706_net_61_10737_net_70_11670_net_51_10906
185,GuidedBackprop_64_1_0_ZINBAutoencoder_zeros,0.5013333333333333,2391.45275460399,450.27244809499825,net_141_11706_net_61_10737_net_70_11670_net_51_10906
186,GradientShap_64_1_0_ZINBAutoencoder_zeros,1.0,2391.45275460399,840.0369975670183,net_141_11706_net_61_10737_net_70_11670_net_51_10906
187,GradientShap_64_1_0_ZINBAutoencoder_randomize,1.0,2391.45275460399,833.475651709974,net_141_11706_net_61_10737_net_70_11670_net_51_10906
